,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Bouldering Sub-Area,Bouldering Area,Park Region,Park,State,Area Latitude,Area Longitude
0,3.9,White Rastafarian,Boulder,V2 R,1,20.0,,White Rastafarian Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.02073,-116.16212
1,3.9,Slashface,Boulder,V3 R,1,25.0,,Slash Boulder,Western Belt,Geology Tour Road Bouldering,,Joshua Tree National Park,California,33.95344,-116.08706000000001
2,3.9,JBMFP,Boulder,V5,1,16.0,,JBMF Boulder,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.0152,-116.16631000000001
3,3.9,Pigpen,Boulder,V4,1,10.0,,Pigpen Boulder,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.0153,-116.15811000000001
4,3.7,Gunsmoke,Boulder,V3,1,80.0,,Gunsmoke Wall,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,34.02858,-116.14508000000001
5,3.7,Stem Gem,Boulder,V4,1,20.0,,Stem Gem Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01716,-116.16368
6,3.7,Fry Problem,Boulder,V2,1,15.0,,Fry Boulder,Fry Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,33.98831,-116.15795
7,3.6,False Up 20,Boulder,V0-,1,20.0,,False Up 20 Boulder,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.01513,-116.16605
8,3.5,Saturday Night Live,Boulder,V4,1,13.0,,Saturday Night Live Boulder,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.01167,-116.16855
9,3.4,The Chube,Boulder,V2,1,15.0,,Chube Boulder,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,34.02838,-116.14523999999999
10,3.2,Sloper Safari,Boulder,V4,1,10.0,,Meadows Boulder,,Hall of Horrors Bouldering,,Joshua Tree National Park,California,33.99418,-116.14301
11,3.1,Hobbit Hole Offwidth,Boulder,V0,1,12.0,,Hobbit Hole Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.0229,-116.16413999999999
12,3.1,Illicit Sweetie,Boulder,V0,1,18.0,,Illicit Sweetie Boulder,The Hang,Planet X Bouldering,,Joshua Tree National Park,California,33.998020000000004,-116.15351000000001
13,3.0,False Hueco Traverse,Boulder,V2,1,15.0,,False Hueco Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.01912,-116.16528999999998
14,3.0,Roof Romp,Boulder,V4,1,15.0,,Romp Roof,,Outback Bouldering,,Joshua Tree National Park,California,34.02174,-116.16332
15,2.9,Yabo Roof,Boulder,V3,1,6.0,,Yabo Roof Area,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.01468,-116.1658
16,2.8,Pinhead,Boulder,5.8+ V0,1,15.0,,Pinhead Boulder,HVCG North,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01999,-116.16161000000001
17,2.9,Yabba Dabba Don't,Boulder,V3,1,15.0,,Yabba Dabba Don't Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.01968,-116.16583
18,2.8,Sweetie Pie,Boulder,V-easy,1,18.0,,Illicit Sweetie Boulder,The Hang,Planet X Bouldering,,Joshua Tree National Park,California,33.998020000000004,-116.15351000000001
19,2.7,Little Chucky,Boulder,V4,1,8.0,,Chuckawalla Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.020559999999996,-116.16505
20,2.6,False Hueco,Boulder,V1,1,11.0,,False Hueco Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.01912,-116.16528999999998
21,2.6,Not So Thin Lizzie,Boulder,V3,1,10.0,,Lizzie Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.0202,-116.165
22,2.5,Chuckawalla,Boulder,V1,1,15.0,,Chuckawalla Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.020559999999996,-116.16505
23,2.5,The Boxer Problem,Boulder,V2,1,13.0,Manx Boulders - Northwest Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.014309999999995,-116.15813999999999
24,2.3,Holenoid (aka The Grundle from Down Under),Boulder,V0+,1,15.0,,Pinhead Boulder,HVCG North,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01999,-116.16161000000001
25,3.1,Nicole Overhang,Boulder,V6,1,13.0,,Nicole Boulder,The Hang,Planet X Bouldering,,Joshua Tree National Park,California,33.99779,-116.1536
26,3.5,Caveman,Boulder,V6-7,1,30.0,,Caveman Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.016220000000004,-116.1633
27,1.9,Flintlock Dyno,Boulder,V0,1,10.0,,Chuckawalla Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.020559999999996,-116.16505
28,2.3,Thingamajig,Boulder,V0-,1,16.0,Manx Boulders - Southeast Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01419,-116.15821000000001
29,3.0,Classic Thin Crack,Boulder,V2,1,15.0,,Classic Thin Crack Boulder,Echo Cove Bouldering,Echo Rock Bouldering,,Joshua Tree National Park,California,34.02534,-116.15881
30,2.5,The Womb,Boulder,V-easy,1,13.0,,The Womb,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01398,-116.16038999999999
31,3.4,High Noon,Boulder,V5,1,16.0,,Gunsmoke Wall,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,34.02858,-116.14508000000001
32,3.7,Streetcar Named Desire,Boulder,V6-7,1,13.0,,Streetcar Boulder,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,34.02758,-116.14483
33,2.7,Undertow,Boulder,V3,1,16.0,Manx Boulders - Northwest Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.014309999999995,-116.15813999999999
34,3.6,Betty Jo Yablonksi,Boulder,5.10a V0 R,1,25.0,,Betty Jo Rock,Entrance Boulder & Vicinity,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,Joshua Tree National Park,California,34.01247,-116.16861000000002
35,3.9,Big Bob's Big Wedge,"Trad, Boulder",5.12a V5,1,40.0,,Big Bob's Big Wedge,,Live Oak Picnic Area,,Joshua Tree National Park,California,33.99973,-116.05138000000001
